[
StockUnit{open=320.205, high=320.35, low=320.16, close=320.28, adjustedClose=0.0, volume=1002, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:55:00}, 
StockUnit{open=320.29, high=320.34, low=320.2, close=320.25, adjustedClose=0.0, volume=1829, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:54:00}, 
StockUnit{open=320.3382, high=320.35, low=320.21, close=320.275, adjustedClose=0.0, volume=509, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:53:00}, 
StockUnit{open=320.3, high=320.35, low=320.15, close=320.35, adjustedClose=0.0, volume=358, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:52:00}, 
StockUnit{open=320.2, high=320.43, low=320.15, close=320.3, adjustedClose=0.0, volume=3878, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:51:00}, 
StockUnit{open=320.2, high=320.2, low=320.13, close=320.1512, adjustedClose=0.0, volume=1303, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:50:00}, 
StockUnit{open=320.235, high=320.27, low=320.13, close=320.2, adjustedClose=0.0, volume=2887, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:49:00}, 
StockUnit{open=320.17, high=320.27, low=320.12, close=320.23, adjustedClose=0.0, volume=1152, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:48:00}, 
StockUnit{open=320.225, high=320.27, low=320.17, close=320.25, adjustedClose=0.0, volume=2023, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:47:00}, 
StockUnit{open=320.17, high=320.25, low=320.11, close=320.25, adjustedClose=0.0, volume=788, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:46:00}, 
StockUnit{open=320.31, high=320.35, low=320.1, close=320.24, adjustedClose=0.0, volume=5905, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:45:00}, 
StockUnit{open=320.26, high=320.35, low=320.12, close=320.27, adjustedClose=0.0, volume=5246, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:44:00}, 
StockUnit{open=320.195, high=320.27, low=320.11, close=320.12, adjustedClose=0.0, volume=965, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:43:00}, 
StockUnit{open=320.425, high=320.48, low=320.19, close=320.25, adjustedClose=0.0, volume=3926, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:42:00}, 
StockUnit{open=320.4, high=320.48, low=320.37, close=320.37, adjustedClose=0.0, volume=1322, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:41:00}, 
StockUnit{open=320.45, high=320.5, low=320.4, close=320.5, adjustedClose=0.0, volume=1283, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:40:00}, 
StockUnit{open=320.5, high=320.6, low=320.36, close=320.465, adjustedClose=0.0, volume=1243, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:39:00}, 
StockUnit{open=320.59, high=320.6, low=320.3599, close=320.6, adjustedClose=0.0, volume=1713, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:38:00}, 
StockUnit{open=320.57, high=320.61, low=320.42, close=320.505, adjustedClose=0.0, volume=1971, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:37:00}, 
StockUnit{open=320.6, high=320.67, low=320.45, close=320.53, adjustedClose=0.0, volume=236, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:36:00}, 
StockUnit{open=320.61, high=320.7, low=320.52, close=320.6, adjustedClose=0.0, volume=633, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:35:00}, 
StockUnit{open=320.45, high=320.7, low=320.45, close=320.61, adjustedClose=0.0, volume=482, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:34:00}, 
StockUnit{open=320.55, high=320.7, low=320.5, close=320.6, adjustedClose=0.0, volume=2350, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:33:00}, 
StockUnit{open=320.45, high=320.58, low=320.36, close=320.555, adjustedClose=0.0, volume=641, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:32:00}, 
StockUnit{open=320.5488, high=320.55, low=320.36, close=320.53, adjustedClose=0.0, volume=1852, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:31:00}, 
StockUnit{open=320.55, high=320.55, low=320.36, close=320.45, adjustedClose=0.0, volume=2046, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:30:00}, 
StockUnit{open=320.55, high=320.55, low=320.475, close=320.55, adjustedClose=0.0, volume=1537, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:29:00}, 
StockUnit{open=320.5, high=320.55, low=320.5, close=320.525, adjustedClose=0.0, volume=610, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:28:00}, 
StockUnit{open=320.58, high=320.69, low=320.44, close=320.55, adjustedClose=0.0, volume=3412, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:27:00}, 
StockUnit{open=320.58, high=320.58, low=320.5, close=320.56, adjustedClose=0.0, volume=1360, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:26:00}, 
StockUnit{open=320.575, high=320.6, low=320.4, close=320.54, adjustedClose=0.0, volume=1177, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:25:00}, 
StockUnit{open=320.69, high=320.72, low=320.55, close=320.6, adjustedClose=0.0, volume=4317, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:24:00}, 
StockUnit{open=320.68, high=320.75, low=320.66, close=320.66, adjustedClose=0.0, volume=1069, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:23:00}, 
StockUnit{open=320.75, high=320.75, low=320.56, close=320.68, adjustedClose=0.0, volume=444, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:22:00}, 
StockUnit{open=320.62, high=320.75, low=320.55, close=320.65, adjustedClose=0.0, volume=4301, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:21:00}, 
